github_username,bounty,pull_request,eth_address
geeknam,50,https://github.com/Lamden/clove_bounty/pull/1,0x1D32129Dc5A235336Cc4F01Fe41E9b5f97F1261c
geeknam,50,https://github.com/Lamden/clove_bounty/pull/2,0x1D32129Dc5A235336Cc4F01Fe41E9b5f97F1261c
geeknam,50,https://github.com/Lamden/clove_bounty/pull/3,0x1D32129Dc5A235336Cc4F01Fe41E9b5f97F1261c
Gotili,2800,https://github.com/Lamden/clove_bounty/pull/22,0x16A6B22E79133BDD07c8505a2567aFEc5bc0B9AD
Gotili,1400,https://github.com/Lamden/clove_bounty/pull/25,0x16A6B22E79133BDD07c8505a2567aFEc5bc0B9AD
Gotili,2100,https://github.com/Lamden/clove_bounty/pull/26,0x16A6B22E79133BDD07c8505a2567aFEc5bc0B9AD
